
name: atni, total assets: 892000000, total liabilities: 542000000, market cap: 894200670, undervalued: False, difference: -544200670
name: atlc, total assets: 356000000, total liabilities: 360000000, market cap: 55097615, undervalued: False, difference: -59097615
name: aaww, total assets: 3643000000, total liabilities: 2356000000, market cap: 1017319496, undervalued: True, difference: 269680504
name: afh, total assets: 223000000, total liabilities: 168000000, market cap: 120334601, undervalued: False, difference: -65334601
name: atml, total assets: 1368000000, total liabilities: 429000000, market cap: 3304737216, undervalued: False, difference: -2365737216
name: atmi, total assets: 591000000, total liabilities: 71000000, market cap: 951742495, undervalued: False, difference: -431742495
name: atos, total assets: 13000000, total liabilities: 1000000, market cap: 43079329, undervalued: False, difference: -31079329
name: atrc, total assets: 57000000, total liabilities: 21000000, market cap: 397897431, undervalued: False, difference: -361897431
name: atri, total assets: 173000000, total liabilities: 23000000, market cap: 592840438, undervalued: False, difference: -442840438
name: attu, total assets: 26000000, total liabilities: 16000000, market cap: 141409050, undervalued: False, difference: -131409050
name: aubn, total assets: 744000000, total liabilities: 678000000, market cap: 93263821, undervalued: False, difference: -27263821
name: adnc, total assets: 193000000, total liabilities: 33000000, market cap: 252818897, undervalued: False, difference: -92818897
name: audc, total assets: 166000000, total liabilities: 67000000, market cap: 272373721, undervalued: False, difference: -173373721
name: adat, total assets: 11000000, total liabilities: 4000000, market cap: 48175291, undervalued: False, difference: -41175291
name: abtl, total assets: 50000000, total liabilities: 22000000, market cap: 136585486, undervalued: False, difference: -108585486
name: adsk, total assets: 4223000000, total liabilities: 2172000000, market cap: 11176224000, undervalued: False, difference: -9125224000
name: adp, total assets: 29481000000, total liabilities: 23288000000, market cap: 38860658046, undervalued: False, difference: -32667658046
name: amap, total assets: 351000000, total liabilities: 63000000, market cap: 1021271133, undervalued: False, difference: -733271133
name: auxl, total assets: 1128000000, total liabilities: 845000000, market cap: 1014369992, undervalued: False, difference: -731369992
name: avgo, total assets: 3204000000, total liabilities: 478000000, market cap: 13137438976, undervalued: False, difference: -10411438976
name: avnr, total assets: 74000000, total liabilities: 52000000, market cap: 491320859, undervalued: False, difference: -469320859
name: aveo, total assets: 163000000, total liabilities: 77000000, market cap: 84017075, undervalued: True, difference: 1982925
name: avnw, total assets: 297000000, total liabilities: 159000000, market cap: 142255600, undervalued: False, difference: -4255600
name: avid, total assets: 553000000, total liabilities: 204000000, market cap: 318019268, undervalued: True, difference: 30980732
name: car, total assets: 17804000000, total liabilities: 8364000000, market cap: 4224131563, undervalued: True, difference: 5215868437
name: awre, total assets: 89000000, total liabilities: 6000000, market cap: 137230428, undervalued: False, difference: -54230428
name: acls, total assets: 227000000, total liabilities: 54000000, market cap: 264128394, undervalued: False, difference: -91128394
name: axgn, total assets: 29000000, total liabilities: 25000000, market cap: 60167270, undervalued: False, difference: -56167270
name: axti, total assets: 165000000, total liabilities: 26000000, market cap: 83125402, undervalued: True, difference: 55874598
name: bcom, total assets: 6064000000, total liabilities: 5807000000, market cap: 530160000, undervalued: False, difference: -273160000
name: bosc, total assets: 18000000, total liabilities: 14000000, market cap: 7841879, undervalued: False, difference: -3841879
name: beav, total assets: 5561000000, total liabilities: 3068000000, market cap: 9041416437, undervalued: False, difference: -6548416437
name: bidu, total assets: 7330000000, total liabilities: 2982000000, market cap: 60759914267, undervalued: False, difference: -56411914267
name: bcpc, total assets: 358000000, total liabilities: 35000000, market cap: 1782642472, undervalued: False, difference: -1459642472
name: bwina, total assets: 1065000000, total liabilities: 697000000, market cap: 378143068, undervalued: False, difference: -10143068
name: bwinb, total assets: 1065000000, total liabilities: 697000000, market cap: 337133790, undervalued: True, difference: 30866210
name: banc, total assets: 3718000000, total liabilities: 3415000000, market cap: 252117574, undervalued: True, difference: 50882426
name: bancl, total assets: 3718000000, total liabilities: 3415000000, market cap: 0, undervalued: True, difference: 303000000
name: bancp, total assets: 3718000000, total liabilities: 3415000000, market cap: 0, undervalued: True, difference: 303000000
name: banf, total assets: 5926000000, total liabilities: 5380000000, market cap: 873363440, undervalued: False, difference: -327363440
name: banfp, total assets: 5926000000, total liabilities: 5380000000, market cap: 26350100, undervalued: True, difference: 519649900
name: bkmu, total assets: 2333000000, total liabilities: 2057000000, market cap: 329669216, undervalued: False, difference: -53669216
name: boch, total assets: 931000000, total liabilities: 829000000, market cap: 83217140, undervalued: True, difference: 18782860
name: bmrc, total assets: 1483000000, total liabilities: 1321000000, market cap: 239166002, undervalued: False, difference: -77166002
name: bksc, total assets: 334000000, total liabilities: 299000000, market cap: 70607992, undervalued: False, difference: -35607992
name: botj, total assets: 435000000, total liabilities: 406000000, market cap: 29302817, undervalued: False, difference: -302817
name: ozrk, total assets: 4706000000, total liabilities: 4098000000, market cap: 2092731447, undervalued: False, difference: -1484731447
name: bfin, total assets: 1441000000, total liabilities: 1267000000, market cap: 196881343, undervalued: False, difference: -22881343
name: banr, total assets: 4282000000, total liabilities: 3752000000, market cap: 878687854, undervalued: False, difference: -348687854
name: bbsi, total assets: 304000000, total liabilities: 236000000, market cap: 671668660, undervalued: False, difference: -603668660
name: bset, total assets: 225000000, total liabilities: 65000000, market cap: 174903038, undervalued: False, difference: -14903038
name: baxs, total assets: 51000000, total liabilities: 14000000, market cap: 47954688, undervalued: False, difference: -10954688
name: bybk, total assets: 440000000, total liabilities: 385000000, market cap: 46821325, undervalued: True, difference: 8178675
name: bylk, total assets: 982000000, total liabilities: 890000000, market cap: 105536061, undervalued: False, difference: -13536061
name: bv, total assets: 322000000, total liabilities: 97000000, market cap: 607491600, undervalued: False, difference: -382491600
name: bbcn, total assets: 6340000000, total liabilities: 5539000000, market cap: 1322183234, undervalued: False, difference: -521183234
name: bcbp, total assets: 1182000000, total liabilities: 1089000000, market cap: 111319234, undervalued: False, difference: -18319234
name: bcsb, total assets: 637000000, total liabilities: 586000000, market cap: 83773919, undervalued: False, difference: -32773919
name: becn, total assets: 1405000000, total liabilities: 683000000, market cap: 1987819122, undervalued: False, difference: -1265819122
name: bbgi, total assets: 262000000, total liabilities: 172000000, market cap: 200586715, undervalued: False, difference: -110586715
name: bebe, total assets: 332000000, total liabilities: 81000000, market cap: 417451209, undervalued: False, difference: -166451209
name: bbby, total assets: 6307000000, total liabilities: 2281000000, market cap: 17033612981, undervalued: False, difference: -13007612981
name: belfa, total assets: 318000000, total liabilities: 97000000, market cap: 224785105, undervalued: False, difference: -3785105
name: belfb, total assets: 318000000, total liabilities: 97000000, market cap: 199197375, undervalued: True, difference: 21802625
